Study area (Union),Age,Gender,Marital Status,Education level,Occupation,Monthly Household Income (BDT),Household Type,Household Size,Have you experienced a cyclone before?, Distance to nearest cyclone shelter,Difficulty in accessing shelter during cyclone,Are women-friendly facilities available in cyclone shelters?,Women feel comfortable and safe in cyclone shelters,Are there any security issues in cyclone shelters?,"If yes, what types of security issues are experienced in cyclone shelters?",Security issues discourage women from using shelters,How effective is shelter management in ensuring safety?,What management problems exist?,Women’s mobility is restricted by family or social norms during cyclone events,Who usually makes the decision to evacuate to cyclone shelters?,Cyclone warning information is timely and clear,Main sources of cyclone warning information,Have you received any cyclone preparedness training?,Overall impact of cyclone on your household,Types of losses experienced,"Livelihood factors (e.g., livestock, income source) affect your decision to go to shelter",What are the main barriers to reaching cyclone shelters?,"In your opinion, why do women avoid cyclone shelters?",Suggested Improvements
Nishanbaria ,25,Male,Married,Primary,Small business,"5,000–10,000",Bamboo/Wooden,5,Yes,1–2 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Disagree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,Severe,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, More shelter capacity"
Nishanbaria ,40,Male,Married,Graduation,NGO worker,">20,000",Pucca,5,Yes,1–2 km,Easy,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Poor,"No monitoring, Lack of resources",Disagree,Joint decision,Agree,"Miking, Flag signal",Regular,High,"Property loss, Income loss, Psychological stress",Disagree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Nishanbaria ,18,Male,Single,Secondary,Small business,"5,000–10,000",Bamboo/Wooden,5,Yes,>5 km,Difficult,Yes,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",Regular,Severe,"Injury, Property loss, Psychological stress",Disagree,"Fallen trees, Slippery road, No transport, Long distance","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Nishanbaria ,63,Female,Widowed,Illiterate,Housewife,"<5,000",Bamboo/Wooden,8,Yes,1–2 km,Very difficult,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Neutral,"Miking, Flag signal",No,Severe,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Strong current, Flooded roads, Lack of information","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, More shelter capacity"
Nishanbaria ,25,Female,Married,Primary,Housewife,"<5,000",Katcha,4,Yes,1–2 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Very poor,"No monitoring, Lack of resources",Disagree,Male head of household,Agree,"Miking, Flag signal",No,Severe,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Nishanbaria ,27,Female,Married,Primary,Housewife,"<5,000",Bamboo/Wooden,4,Yes,1–2 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",No,Severe,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Nishanbaria ,37,Female,Married,Graduation,NGO worker,">20,000",Pucca,6,Yes,1–2 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Disagree,Poor,"No monitoring, Lack of resources",Disagree,Joint decision,Agree,"Miking, Flag signal",Regular,High,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Nishanbaria ,51,Female,Married,Secondary,Housewife,"<5,000",Bamboo/Wooden,5,Yes,1–2 km,Moderate,No,Disagree,Yes,Overcrowding,Agree,Very poor,"No monitoring, Lack of resources",Strongly disagree,Joint decision,Neutral,"Miking, Flag signal",No,High,"Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Nishanbaria ,44,Male,Married,Primary,Day laborer,"5,000–10,000",Bamboo/Wooden,6,Yes,1–2 km,Easy,No,Disagree,Yes,Overcrowding,Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",No,Severe,"Property loss, Income loss, Psychological stress",Agree,Slippery road,"Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Nishanbaria ,37,Male,Single,Secondary,Student,"<5,000",Katcha,5,Yes,<1 km,Easy,No,Disagree,Yes,Overcrowding,Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",Yes,High,"Property loss, Income loss, Psychological stress",Agree,Slippery road,"Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
